Data Table for Daily Death Trends - The United States,,,,
Date generated: Wed Nov 03 2021 10:08:54 GMT-0400 (Eastern Daylight Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Dec 11 2020,3275,2609,0
United States,Dec 10 2020,2741,2519,0
United States,Dec  9 2020,3381,2523,0
United States,Dec  8 2020,2576,2440,0
United States,Dec  7 2020,2177,2410,0
United States,Dec  6 2020,1753,2345,0
United States,Dec  5 2020,2365,2296,0
United States,Dec  4 2020,2641,2191,0
United States,Dec  3 2020,2769,2057,0
United States,Dec  2 2020,2805,1905,0
United States,Dec  1 2020,2362,1837,0
United States,Nov 30 2020,1721,1776,0
United States,Nov 29 2020,1410,1754,0
United States,Nov 28 2020,1632,1748,0
United States,Nov 27 2020,1704,1762,0
United States,Nov 26 2020,1706,1801,0
United States,Nov 25 2020,2330,1835,0
United States,Nov 24 2020,1930,1768,0
United States,Nov 23 2020,1566,1725,0
United States,Nov 22 2020,1374,1666,0
United States,Nov 21 2020,1730,1637,0
United States,Nov 20 2020,1976,1603,0
United States,Nov 19 2020,1939,1507,0
United States,Nov 18 2020,1864,1423,0
United States,Nov 17 2020,1627,1376,0
United States,Nov 16 2020,1155,1324,0
United States,Nov 15 2020,1173,1304,0
United States,Nov 14 2020,1490,1267,0
United States,Nov 13 2020,1304,1213,0
United States,Nov 12 2020,1350,1217,0
United States,Nov 11 2020,1537,1201,0
United States,Nov 10 2020,1262,1170,466
United States,Nov  9 2020,1018,1145,0
United States,Nov  8 2020,911,1118,0
United States,Nov  7 2020,1114,1091,0
United States,Nov  6 2020,1332,1060,0
United States,Nov  5 2020,1234,1010,0
United States,Nov  4 2020,1325,995,0
United States,Nov  3 2020,1083,961,0
United States,Nov  2 2020,827,933,0
United States,Nov  1 2020,722,920,0
United States,Oct 31 2020,903,910,0
United States,Oct 30 2020,977,892,0
United States,Oct 29 2020,1130,882,0
United States,Oct 28 2020,1085,857,0
United States,Oct 27 2020,891,855,0
United States,Oct 26 2020,734,843,0
United States,Oct 25 2020,655,831,0
United States,Oct 24 2020,774,847,0
United States,Oct 23 2020,910,838,0
United States,Oct 22 2020,951,838,0
United States,Oct 21 2020,1070,808,0
United States,Oct 20 2020,812,774,0
United States,Oct 19 2020,650,759,0
United States,Oct 18 2020,764,745,0
United States,Oct 17 2020,714,721,0
United States,Oct 16 2020,908,716,0
United States,Oct 15 2020,744,695,0
United States,Oct 14 2020,831,692,0
United States,Oct 13 2020,705,691,0
United States,Oct 12 2020,550,683,0
United States,Oct 11 2020,595,682,0
United States,Oct 10 2020,682,678,0
United States,Oct  9 2020,761,660,0
United States,Oct  8 2020,726,679,0
United States,Oct  7 2020,821,683,0
United States,Oct  6 2020,646,662,0
United States,Oct  5 2020,545,687,0
United States,Oct  4 2020,565,675,0
United States,Oct  3 2020,560,666,0
United States,Oct  2 2020,893,682,0
United States,Oct  1 2020,753,660,0
United States,Sep 30 2020,677,659,0
United States,Sep 29 2020,817,690,0
United States,Sep 28 2020,461,669,0
United States,Sep 27 2020,503,690,0
United States,Sep 26 2020,673,689,0
United States,Sep 25 2020,740,687,0
United States,Sep 24 2020,743,699,0
United States,Sep 23 2020,894,696,0
United States,Sep 22 2020,670,719,0
United States,Sep 21 2020,609,734,0
United States,Sep 20 2020,499,713,0
United States,Sep 19 2020,657,751,0
United States,Sep 18 2020,821,749,0
United States,Sep 17 2020,722,750,0
United States,Sep 16 2020,1058,765,0
United States,Sep 15 2020,772,735,0
United States,Sep 14 2020,465,709,0
United States,Sep 13 2020,765,710,0
United States,Sep 12 2020,646,700,0
United States,Sep 11 2020,828,718,0
United States,Sep 10 2020,827,733,0
United States,Sep  9 2020,847,749,0
United States,Sep  8 2020,587,751,0
United States,Sep  7 2020,475,794,0
United States,Sep  6 2020,696,810,0
United States,Sep  5 2020,767,814,0
United States,Sep  4 2020,934,820,0
United States,Sep  3 2020,943,832,0
United States,Sep  2 2020,860,835,0
United States,Sep  1 2020,888,860,0
United States,Aug 31 2020,582,864,0
United States,Aug 30 2020,727,877,0
United States,Aug 29 2020,809,893,0
United States,Aug 28 2020,1020,912,0
United States,Aug 27 2020,963,906,0
United States,Aug 26 2020,1035,914,0
United States,Aug 25 2020,917,941,0
United States,Aug 24 2020,668,943,0
United States,Aug 23 2020,841,950,0
United States,Aug 22 2020,941,957,0
United States,Aug 21 2020,979,963,0
United States,Aug 20 2020,1019,975,0
United States,Aug 19 2020,1226,1001,0
United States,Aug 18 2020,932,1016,0
United States,Aug 17 2020,716,1045,0
United States,Aug 16 2020,887,1066,0
United States,Aug 15 2020,982,1069,0
United States,Aug 14 2020,1064,1079,0
United States,Aug 13 2020,1203,1112,0
United States,Aug 12 2020,1334,1114,0
United States,Aug 11 2020,1129,1101,0
United States,Aug 10 2020,863,1097,0
United States,Aug  9 2020,912,1110,0
United States,Aug  8 2020,1053,1113,0
United States,Aug  7 2020,1296,1127,0
